time,voltage [V],current [mA],power mW
04:52:56.695521,4.660,291.18902,1357.9268
04:52:56.956726,4.592,342.98780,1653.6585
04:52:57.215985,4.600,496.98171,1935.9756
04:52:57.475170,4.636,311.98171,1549.3902
04:52:57.735629,4.628,316.98171,1405.4878
04:52:57.994381,4.692,312.07317,1564.6341
04:52:58.254142,4.588,341.28049,2235.9756
04:52:58.513232,4.600,488.17073,1453.6585
04:52:58.773438,4.636,311.67683,1448.7805
04:52:59.032286,4.636,305.48780,1443.9024
04:52:59.292002,4.660,292.46951,1392.6829
04:52:59.553483,4.620,483.78049,1502.4390
